obs,GDP_QGR,UN_RATE
1987Q2,2.74048163073381,7.4
1987Q3,2.02753554728773,7.5
1987Q4,0.7983716331302,7.5
1988Q1,0.990361335076181,7.5
1988Q2,0.339640849083376,7.4
1988Q3,0.505261764794972,7.3
1988Q4,1.82477194690724,7.2
1989Q1,1.23696683215785,7
1989Q2,1.62639962866801,6.8
1989Q3,1.77828336901282,6.6
1989Q4,2.6321033229394,6.4
1990Q1,1.64498669554031,6.3
1990Q2,1.10276387935544,6.1
1990Q3,0.0998395210349222,6
1990Q4,3.30377181959021,5.9
1991Q1,0.760439656656733,5.8
1991Q2,1.19886255347311,5.7
1991Q3,0.989732060152044,5.7
1991Q4,2.34759763844757,5.6
1992Q1,1.59634129664605,5.6
1992Q2,-0.643969691751293,5.6
1992Q3,1.83058678307308,5.8
1992Q4,4.09078644398496,6
1993Q1,1.18014802867246,6.2
1993Q2,1.09805367455795,6.4
1993Q3,2.53741392859219,6.6
1993Q4,0.83318935364122,6.7
1994Q1,0.921657803253122,6.8
1994Q2,1.69471567609432,7
1994Q3,2.04939314136541,7.3
1994Q4,1.68972045893598,7.7
1995Q1,2.90149038034798,8.1
1995Q2,2.54170396726548,8.4
1995Q3,0.482997678651411,8.4
1995Q4,1.21335199365239,8.3
1996Q1,-0.756217377218196,8.1
1996Q2,1.51416562183538,7.8
1996Q3,0.736700147868697,7.5
1996Q4,0.156679345866353,7.2
1997Q1,0.534663401415002,6.9
1997Q2,1.56006736323641,6.6
1997Q3,0.920917378557305,6.3
1997Q4,2.26876987969461,5.9
1998Q1,0.643737297250013,5.6
1998Q2,1.21480318548349,5.3
1998Q3,1.46533727404166,5
1998Q4,1.81382933183031,4.7
1999Q1,1.87232747492539,4.5
1999Q2,1.60916339238192,4.3
1999Q3,1.88552822148255,4.2
1999Q4,2.21403158003009,4
2000Q1,2.37937511162554,3.9
2000Q2,1.72603533986473,3.7
2000Q3,1.76103159335085,3.6
2000Q4,1.64611958116115,3.4
2001Q1,2.95093591019099,3.2
2001Q2,1.0213121469116,3.1
2001Q3,0.92286570968602,3.1
2001Q4,0.854322975137877,3.1
2002Q1,0.916975791093395,3.3
2002Q2,0.947099263408531,3.5
2002Q3,1.60319935648145,3.8
2002Q4,0.16838024262032,4.1
2003Q1,0.676517643598839,4.4
2003Q2,0.318188514682391,4.7
2003Q3,0.382503951676306,5
2003Q4,0.849510869891254,5.3
2004Q1,0.483878256416303,5.5
2004Q2,0.971506797334343,5.8
2004Q3,0.833642329167388,5.7
2004Q4,0.84058957763559,5.8
2005Q1,1.11778329548546,6
2005Q2,1.61214575332106,6
2005Q3,1.27098302934755,5.9
2005Q4,1.16896309686496,5.8
2006Q1,1.31219800352923,5.4
2006Q2,1.52056369531886,5.1
2006Q3,0.787921443721863,4.8
2006Q4,1.52538848577602,4.7
2007Q1,1.65954813603532,4.4
2007Q2,1.42227750545149,4.1
2007Q3,1.37970911390522,4.1
2007Q4,1.30587055164652,3.9
2008Q1,1.46308961041082,3.7
2008Q2,0.256875951571938,3.7
2008Q3,0.497845627126916,3.6
2008Q4,-0.311434227012426,3.6
2009Q1,-2.70508517971615,3.8
2009Q2,-1.63892157992065,4.2
2009Q3,0.289409835089416,4.6
2009Q4,0.332322790016514,4.9
2010Q1,0.664261165495463,5.1
2010Q2,1.58957529909544,5
2010Q3,0.512531726519913,5
2010Q4,0.711839175313973,4.9
2011Q1,0.813722622239471,4.9
2011Q2,0.170866308169556,4.7
2011Q3,0.105552096220527,5
2011Q4,-0.116293582352158,5.3
2012Q1,-0.109882931672226,5.5
2012Q2,0.682573333524187,5.7
2012Q3,-0.978441531897137,5.9
2012Q4,0.453645256926237,6.2
2013Q1,0.408899716591445,6.8
2013Q2,-0.102733135484907,7.1
2013Q3,0.390766113186664,7.5
2013Q4,0.267657208243162,7.6
2014Q1,-0.374403893147716,7.8
